origin_iso,origin_name,origin_region_name,destination_iso,destination_name,destination_region_name,countryflow_2014,countryflow_2015
DE,Germany,ESRA North-West,BG,Bulgaria,ESRA East,5936,5741
DE,Germany,ESRA North-West,CH,Switzerland,ESRA North-West,38617,38455
DE,Germany,ESRA North-West,CY,Cyprus,ESRA Mediterranean,816,1015
DE,Germany,ESRA North-West,CZ,Czechia,ESRA East,9578,10198
DE,Germany,ESRA North-West,DE,Germany,ESRA North-West,330882,330317
DE,Germany,ESRA North-West,DK,Denmark,ESRA North-West,19092,20066
DE,Germany,ESRA North-West,EE,Estonia,Other Europe,1189,1501
DE,Germany,ESRA North-West,ES,Spain,ESRA Mediterranean,83574,83549
DE,Germany,ESRA North-West,FI,Finland,ESRA North-West,8189,7902
DE,Germany,ESRA North-West,FO,Faroe Islands,ESRA North-West,2,7
DE,Germany,ESRA North-West,FR,France,ESRA North-West,58389,57674
DE,Germany,ESRA North-West,GB,United Kingdom,ESRA North-West,69964,72307
DE,Germany,ESRA North-West,GE,Georgia,Other Europe,433,400
DE,Germany,ESRA North-West,GI,Gibraltar,Other Europe,8,7
DE,Germany,ESRA North-West,GR,Greece,ESRA Mediterranean,18542,18934
DE,Germany,ESRA North-West,HR,Croatia,ESRA East,8178,8407
